?ювдгВд?вфевЇИвф??ЕвЪЅ,Ж│хВІЮВХюВІюЖ░ђ(??,?юЖхГ ВХюВІю??,,
iPhone 17,iPhone 17 Pro Max,256GB,"1,990,000",2025-09-19
iPhone 17,iPhone 17 Pro Max,512GB,"2,290,000",2025-09-19
iPhone 17,iPhone 17 Pro Max,1TB,"2,590,000",2025-09-19
iPhone 17,iPhone 17 Pro Max,2TB,"3,190,000",2025-09-19
iPhone 17,iPhone 17 Pro,256GB,"1,790,000",2025-09-19
iPhone 17,iPhone 17 Pro,512GB,"2,090,000",2025-09-19
iPhone 17,iPhone 17 Pro,1TB,"2,390,000",2025-09-19
iPhone 17,iPhone 17 Pro,2TB,"3,190,000",2025-09-19
iPhone 17,iPhone 17 Air,256GB,"1,590,000",2025-09-19
iPhone 17,iPhone 17 Air,512GB,"1,890,000",2025-09-19
iPhone 17,iPhone 17 Air,1TB,"2,190,000",2025-09-19
iPhone 17,iPhone 17,256GB,"1,290,000",2025-09-19
iPhone 17,iPhone 17,512GB,"1,590,000",2025-09-19
iPhone 17e,iPhone 17e,256GB,"990,000",2026-03-11
iPhone 17e,iPhone 17e,512GB,"1,290,000",2026-03-11
iPhone 16,iPhone 16 Pro Max,256GB,"1,900,000",2024-09-20
iPhone 16,iPhone 16 Pro Max,512GB,"2,200,000",2024-09-20
iPhone 16,iPhone 16 Pro Max,1TB,"2,500,000",2024-09-20
iPhone 16,iPhone 16 Pro,128GB,"1,550,000",2024-09-20
iPhone 16,iPhone 16 Pro,256GB,"1,700,000",2024-09-20
iPhone 16,iPhone 16 Pro,512GB,"2,000,000",2024-09-20
iPhone 16,iPhone 16 Pro,1TB,"2,300,000",2024-09-20
iPhone 16,iPhone 16 Plus,128GB,"1,350,000",2024-09-20
iPhone 16,iPhone 16 Plus,256GB,"1,500,000",2024-09-20
iPhone 16,iPhone 16 Plus,512GB,"1,800,000",2024-09-20
iPhone 16,iPhone 16,128GB,"1,250,000",2024-09-20
iPhone 16,iPhone 16,256GB,"1,400,000",2024-09-20
iPhone 16,iPhone 16,512GB,"1,700,000",2024-09-20
,,,,
,,,,
iPhone 15,iPhone 15 Pro Max,256GB,"1,900,000",2023-10-13
iPhone 15,iPhone 15 Pro Max,512GB,"2,200,000",2023-10-13
iPhone 15,iPhone 15 Pro Max,1TB,"2,500,000",2023-10-13
iPhone 15,iPhone 15 Pro,128GB,"1,550,000",2023-10-13
iPhone 15,iPhone 15 Pro,256GB,"1,700,000",2023-10-13
iPhone 15,iPhone 15 Pro,512GB,"2,000,000",2023-10-13
iPhone 15,iPhone 15 Pro,1TB,"2,300,000",2023-10-13
iPhone 15,iPhone 15 Plus,128GB,"1,350,000",2023-10-13
iPhone 15,iPhone 15 Plus,256GB,"1,500,000",2023-10-13
iPhone 15,iPhone 15 Plus,512GB,"1,800,000",2023-10-13
iPhone 15,iPhone 15,128GB,"1,250,000",2023-10-13
iPhone 15,iPhone 15,256GB,"1,400,000",2023-10-13
iPhone 15,iPhone 15,512GB,"1,700,000",2023-10-13
iPhone 14,iPhone 14 Pro Max,128GB,"1,750,000",2022-10-07
iPhone 14,iPhone 14 Pro Max,256GB,"1,900,000",2022-10-07
iPhone 14,iPhone 14 Pro Max,512GB,"2,200,000",2022-10-07
iPhone 14,iPhone 14 Pro Max,1TB,"2,500,000",2022-10-07
iPhone 14,iPhone 14 Pro,128GB,"1,550,000",2022-10-07
iPhone 14,iPhone 14 Pro,256GB,"1,700,000",2022-10-07
iPhone 14,iPhone 14 Pro,512GB,"2,000,000",2022-10-07
iPhone 14,iPhone 14 Pro,1TB,"2,300,000",2022-10-07
iPhone 14,iPhone 14 Plus,128GB,"1,350,000",2022-10-07
iPhone 14,iPhone 14 Plus,256GB,"1,500,000",2022-10-07
iPhone 14,iPhone 14 Plus,512GB,"1,800,000",2022-10-07
iPhone 14,iPhone 14,128GB,"1,250,000",2022-10-07
iPhone 14,iPhone 14,256GB,"1,400,000",2022-10-07
iPhone 14,iPhone 14,512GB,"1,700,000",2022-10-07
iPhone SE 3,iPhone SE (3?Ив?),64GB,"590,000",2022-03-25
iPhone SE 3,iPhone SE (3?Ив?),128GB,"660,000",2022-03-25
iPhone SE 3,iPhone SE (3?Ив?),256GB,"800,000",2022-03-25
iPhone 13,iPhone 13 Pro Max,128GB,"1,490,000",2021-10-08
iPhone 13,iPhone 13 Pro Max,256GB,"1,630,000",2021-10-08
iPhone 13,iPhone 13 Pro Max,512GB,"1,900,000",2021-10-08
iPhone 13,iPhone 13 Pro Max,1TB,"2,170,000",2021-10-08
iPhone 13,iPhone 13 Pro,128GB,"1,350,000",2021-10-08
iPhone 13,iPhone 13 Pro,256GB,"1,490,000",2021-10-08
iPhone 13,iPhone 13 Pro,512GB,"1,760,000",2021-10-08
iPhone 13,iPhone 13 Pro,1TB,"2,030,000",2021-10-08
iPhone 13,iPhone 13,128GB,"1,090,000",2021-10-08
iPhone 13,iPhone 13,256GB,"1,230,000",2021-10-08
iPhone 13,iPhone 13,512GB,"1,500,000",2021-10-08
iPhone 13,iPhone 13 mini,128GB,"950,000",2021-10-08
iPhone 13,iPhone 13 mini,256GB,"1,090,000",2021-10-08
iPhone 13,iPhone 13 mini,512GB,"1,360,000",2021-10-08
iPhone 12,iPhone 12 Pro Max,128GB,"1,490,000",2020-11-20
iPhone 12,iPhone 12 Pro Max,256GB,"1,630,000",2020-11-20
iPhone 12,iPhone 12 Pro Max,512GB,"1,900,000",2020-11-20
iPhone 12,iPhone 12 Pro,128GB,"1,350,000",2020-10-30
iPhone 12,iPhone 12 Pro,256GB,"1,490,000",2020-10-30
iPhone 12,iPhone 12 Pro,512GB,"1,760,000",2020-10-30
iPhone 12,iPhone 12,64GB,"1,090,000",2020-10-30
iPhone 12,iPhone 12,128GB,"1,160,000",2020-10-30
iPhone 12,iPhone 12,256GB,"1,300,000",2020-10-30
iPhone 12,iPhone 12 mini,64GB,"950,000",2020-11-20
iPhone 12,iPhone 12 mini,128GB,"1,020,000",2020-11-20
iPhone 12,iPhone 12 mini,256GB,"1,160,000",2020-11-20
iPhone SE 2,iPhone SE (2?Ив?),64GB,"550,000",2020-05-06
iPhone SE 2,iPhone SE (2?Ив?),128GB,"620,000",2020-05-06
iPhone SE 2,iPhone SE (2?Ив?),256GB,"760,000",2020-05-06
iPhone 11,iPhone 11 Pro Max,64GB,"1,550,000",2019-10-25
iPhone 11,iPhone 11 Pro Max,256GB,"1,760,000",2019-10-25
iPhone 11,iPhone 11 Pro Max,512GB,"2,030,000",2019-10-25
iPhone 11,iPhone 11 Pro,64GB,"1,390,000",2019-10-25
iPhone 11,iPhone 11 Pro,256GB,"1,600,000",2019-10-25
iPhone 11,iPhone 11 Pro,512GB,"1,870,000",2019-10-25
iPhone 11,iPhone 11,64GB,"990,000",2019-10-25
iPhone 11,iPhone 11,128GB,"1,060,000",2019-10-25
iPhone 11,iPhone 11,256GB,"1,200,000",2019-10-25
iPhone Xs,iPhone Xs Max,64GB,"1,518,000",2018-11-02
iPhone Xs,iPhone Xs Max,256GB,"1,716,000",2018-11-02
iPhone Xs,iPhone Xs Max,512GB,"1,980,000",2018-11-02
iPhone Xs,iPhone Xs,64GB,"1,364,000",2018-11-02
iPhone Xs,iPhone Xs,256GB,"1,562,000",2018-11-02
iPhone Xs,iPhone Xs,512GB,"1,848,000",2018-11-02
iPhone XR,iPhone XR,64GB,"990,000",2018-11-02
iPhone XR,iPhone XR,128GB,"1,056,000",2018-11-02
iPhone XR,iPhone XR,256GB,"1,201,200",2018-11-02
iPhone X,iPhone X,64GB,"1,360,700",2017-11-24
iPhone X,iPhone X,256GB,"1,557,600",2017-11-24
iPhone 8,iPhone 8 Plus,64GB,"1,070,000",2017-11-03
iPhone 8,iPhone 8 Plus,256GB,"1,280,000",2017-11-03
iPhone 8,iPhone 8,64GB,"946,000",2017-11-03
iPhone 8,iPhone 8,256GB,"1,142,900",2017-11-03
iPhone 7,iPhone 7 Plus,32GB,"1,021,900",2016-10-21
iPhone 7,iPhone 7 Plus,128GB,"1,152,800",2016-10-21
iPhone 7,iPhone 7 Plus,256GB,"1,283,700",2016-10-21
iPhone 7,iPhone 7,32GB,"869,000",2016-10-21
iPhone 7,iPhone 7,128GB,"999,900",2016-10-21
iPhone 7,iPhone 7,256GB,"1,130,800",2016-10-21
iPhone SE 1,iPhone SE (1?Ив?),16GB,"590,000",2016-05-10
iPhone SE 1,iPhone SE (1?Ив?),64GB,"730,000",2016-05-10
iPhone 6s,iPhone 6s Plus,16GB,"1,060,000",2015-10-23
iPhone 6s,iPhone 6s Plus,64GB,"1,200,000",2015-10-23
iPhone 6s,iPhone 6s Plus,128GB,"1,340,000",2015-10-23
iPhone 6s,iPhone 6s,16GB,"920,000",2015-10-23
iPhone 6s,iPhone 6s,64GB,"1,060,000",2015-10-23
iPhone 6s,iPhone 6s,128GB,"1,200,000",2015-10-23
iPhone 6,iPhone 6 Plus,16GB,"980,000",2014-10-31
iPhone 6,iPhone 6 Plus,64GB,"1,110,000",2014-10-31
iPhone 6,iPhone 6 Plus,128GB,"1,240,000",2014-10-31
iPhone 6,iPhone 6,16GB,"850,000",2014-10-31
iPhone 6,iPhone 6,64GB,"980,000",2014-10-31
iPhone 6,iPhone 6,128GB,"1,110,000",2014-10-31
